DCXY        Vout        V(OUT)     
 1.2000E-05  8.8846E-01  8.8846E-01
 1.3000E-05  8.8983E-01  8.8983E-01
 1.4000E-05  8.9120E-01  8.9120E-01
 1.5000E-05  8.9258E-01  8.9258E-01
 1.6000E-05  8.9396E-01  8.9396E-01
 1.7000E-05  8.9533E-01  8.9533E-01
 1.8000E-05  8.9671E-01  8.9671E-01
 1.9000E-05  8.9809E-01  8.9809E-01
 2.0000E-05  8.9948E-01  8.9948E-01
 2.1000E-05  9.0086E-01  9.0086E-01
 2.2000E-05  9.0225E-01  9.0225E-01
 2.3000E-05  9.0364E-01  9.0364E-01
 2.4000E-05  9.0503E-01  9.0503E-01
 2.5000E-05  9.0642E-01  9.0642E-01
 2.6000E-05  9.0781E-01  9.0781E-01
 2.7000E-05  9.0920E-01  9.0920E-01
 2.8000E-05  9.1060E-01  9.1060E-01
 2.9000E-05  9.1200E-01  9.1200E-01
 3.0000E-05  9.1340E-01  9.1340E-01
 3.1000E-05  9.1480E-01  9.1480E-01
 3.2000E-05  9.1620E-01  9.1620E-01
 3.3000E-05  9.1760E-01  9.1760E-01
 3.4000E-05  9.1901E-01  9.1901E-01
 3.5000E-05  9.2041E-01  9.2041E-01
 3.6000E-05  9.2182E-01  9.2182E-01
 3.7000E-05  9.2323E-01  9.2323E-01
 3.8000E-05  9.2464E-01  9.2464E-01
 3.9000E-05  9.2606E-01  9.2606E-01
 4.0000E-05  9.2747E-01  9.2747E-01
 4.1000E-05  9.2889E-01  9.2889E-01
 4.2000E-05  9.3030E-01  9.3030E-01
 4.3000E-05  9.3172E-01  9.3172E-01
 4.4000E-05  9.3314E-01  9.3314E-01
 4.5000E-05  9.3457E-01  9.3457E-01
 4.6000E-05  9.3599E-01  9.3599E-01
 4.7000E-05  9.3742E-01  9.3742E-01
 4.8000E-05  9.3884E-01  9.3884E-01
 4.9000E-05  9.4027E-01  9.4027E-01
 5.0000E-05  9.4170E-01  9.4170E-01
 5.1000E-05  9.4313E-01  9.4313E-01
 5.2000E-05  9.4456E-01  9.4456E-01
 5.3000E-05  9.4600E-01  9.4600E-01
 5.4000E-05  9.4743E-01  9.4743E-01
 5.5000E-05  9.4887E-01  9.4887E-01
 5.6000E-05  9.5031E-01  9.5031E-01
 5.7000E-05  9.5175E-01  9.5175E-01
 5.8000E-05  9.5319E-01  9.5319E-01
 5.9000E-05  9.5464E-01  9.5464E-01
 6.0000E-05  9.5608E-01  9.5608E-01
 6.1000E-05  9.5753E-01  9.5753E-01
 6.2000E-05  9.5898E-01  9.5898E-01
 6.3000E-05  9.6043E-01  9.6043E-01
 6.4000E-05  9.6188E-01  9.6188E-01
 6.5000E-05  9.6333E-01  9.6333E-01
 6.6000E-05  9.6478E-01  9.6478E-01
 6.7000E-05  9.6624E-01  9.6624E-01
 6.8000E-05  9.6769E-01  9.6769E-01
 6.9000E-05  9.6915E-01  9.6915E-01
 7.0000E-05  9.7061E-01  9.7061E-01
 7.1000E-05  9.7207E-01  9.7207E-01
 7.2000E-05  9.7354E-01  9.7354E-01
 7.3000E-05  9.7500E-01  9.7500E-01
 7.4000E-05  9.7647E-01  9.7647E-01
 7.5000E-05  9.7793E-01  9.7793E-01
 7.6000E-05  9.7940E-01  9.7940E-01
 7.7000E-05  9.8087E-01  9.8087E-01
 7.8000E-05  9.8234E-01  9.8234E-01
 7.9000E-05  9.8382E-01  9.8382E-01
 8.0000E-05  9.8529E-01  9.8529E-01
 8.1000E-05  9.8677E-01  9.8677E-01
 8.2000E-05  9.8824E-01  9.8824E-01
 8.3000E-05  9.8972E-01  9.8972E-01
 8.4000E-05  9.9120E-01  9.9120E-01
 8.5000E-05  9.9268E-01  9.9268E-01
 8.6000E-05  9.9417E-01  9.9417E-01
 8.7000E-05  9.9565E-01  9.9565E-01
 8.8000E-05  9.9714E-01  9.9714E-01
 8.9000E-05  9.9862E-01  9.9862E-01
 9.0000E-05  1.0001E+00  1.0001E+00
 9.1000E-05  1.0016E+00  1.0016E+00
 9.2000E-05  1.0031E+00  1.0031E+00
 9.3000E-05  1.0046E+00  1.0046E+00
 9.4000E-05  1.0061E+00  1.0061E+00
 9.5000E-05  1.0076E+00  1.0076E+00
 9.6000E-05  1.0091E+00  1.0091E+00
 9.7000E-05  1.0106E+00  1.0106E+00
 9.8000E-05  1.0121E+00  1.0121E+00
 9.9000E-05  1.0136E+00  1.0136E+00
 1.0000E-04  1.0151E+00  1.0151E+00
 1.0100E-04  1.0166E+00  1.0166E+00
 1.0200E-04  1.0181E+00  1.0181E+00
 1.0300E-04  1.0196E+00  1.0196E+00
 1.0400E-04  1.0211E+00  1.0211E+00
 1.0500E-04  1.0226E+00  1.0226E+00
 1.0600E-04  1.0241E+00  1.0241E+00
 1.0700E-04  1.0256E+00  1.0256E+00
 1.0800E-04  1.0271E+00  1.0271E+00
 1.0900E-04  1.0287E+00  1.0287E+00
 1.1000E-04  1.0302E+00  1.0302E+00
 1.1100E-04  1.0317E+00  1.0317E+00
 1.1200E-04  1.0332E+00  1.0332E+00
 1.1300E-04  1.0347E+00  1.0347E+00
 1.1400E-04  1.0363E+00  1.0363E+00
 1.1500E-04  1.0378E+00  1.0378E+00
 1.1600E-04  1.0393E+00  1.0393E+00
 1.1700E-04  1.0408E+00  1.0408E+00
 1.1800E-04  1.0424E+00  1.0424E+00
 1.1900E-04  1.0439E+00  1.0439E+00
 1.2000E-04  1.0454E+00  1.0454E+00
 1.2100E-04  1.0469E+00  1.0469E+00
 1.2200E-04  1.0485E+00  1.0485E+00
 1.2300E-04  1.0500E+00  1.0500E+00
 1.2400E-04  1.0515E+00  1.0515E+00
 1.2500E-04  1.0531E+00  1.0531E+00
 1.2600E-04  1.0546E+00  1.0546E+00
 1.2700E-04  1.0562E+00  1.0562E+00
 1.2800E-04  1.0577E+00  1.0577E+00
 1.2900E-04  1.0592E+00  1.0592E+00
 1.3000E-04  1.0608E+00  1.0608E+00
 1.3100E-04  1.0623E+00  1.0623E+00
 1.3200E-04  1.0639E+00  1.0639E+00
 1.3300E-04  1.0654E+00  1.0654E+00
 1.3400E-04  1.0670E+00  1.0670E+00
 1.3500E-04  1.0685E+00  1.0685E+00
 1.3600E-04  1.0701E+00  1.0701E+00
 1.3700E-04  1.0716E+00  1.0716E+00
 1.3800E-04  1.0732E+00  1.0732E+00
 1.3900E-04  1.0747E+00  1.0747E+00
 1.4000E-04  1.0763E+00  1.0763E+00
 1.4100E-04  1.0778E+00  1.0778E+00
 1.4200E-04  1.0794E+00  1.0794E+00
 1.4300E-04  1.0810E+00  1.0810E+00
 1.4400E-04  1.0825E+00  1.0825E+00
 1.4500E-04  1.0841E+00  1.0841E+00
 1.4600E-04  1.0856E+00  1.0856E+00
 1.4700E-04  1.0872E+00  1.0872E+00
 1.4800E-04  1.0888E+00  1.0888E+00
 1.4900E-04  1.0903E+00  1.0903E+00
 1.5000E-04  1.0919E+00  1.0919E+00
 1.5100E-04  1.0935E+00  1.0935E+00
 1.5200E-04  1.0951E+00  1.0951E+00
 1.5300E-04  1.0966E+00  1.0966E+00
 1.5400E-04  1.0982E+00  1.0982E+00
 1.5500E-04  1.0998E+00  1.0998E+00
 1.5600E-04  1.1014E+00  1.1014E+00
