FREQ        VDB(OUT)    VP(OUT)     VDB(2)      VP(2)      
 5.0970E+07 -3.8838E+01 -1.2967E+02 -7.2929E+00 -3.0040E+02
 5.3915E+07 -3.9167E+01 -1.3090E+02 -7.6200E+00 -3.0215E+02
 5.7029E+07 -3.9482E+01 -1.3218E+02 -7.9345E+00 -3.0391E+02
 6.0324E+07 -3.9784E+01 -1.3349E+02 -8.2360E+00 -3.0568E+02
 6.3808E+07 -4.0072E+01 -1.3483E+02 -8.5241E+00 -3.0745E+02
 6.7494E+07 -4.0347E+01 -1.3620E+02 -8.7986E+00 -3.0923E+02
 7.1393E+07 -4.0608E+01 -1.3759E+02 -9.0594E+00 -3.1100E+02
 7.5518E+07 -4.0855E+01 -1.3900E+02 -9.3064E+00 -3.1276E+02
 7.9880E+07 -4.1088E+01 -1.4042E+02 -9.5395E+00 -3.1452E+02
 8.4495E+07 -4.1308E+01 -1.4184E+02 -9.7589E+00 -3.1626E+02
 8.9376E+07 -4.1513E+01 -1.4326E+02 -9.9647E+00 -3.1797E+02
 9.4539E+07 -4.1706E+01 -1.4467E+02 -1.0157E+01 -3.1967E+02
 1.0000E+08 -4.1885E+01 -1.4607E+02 -1.0337E+01 -3.2133E+02
